,Unnamed: 0,Title,Year,Rating,Rating Count,Label
29,tt0110413,Léon: The Professional,1994,8.5,"920,665",
30,tt0120689,The Green Mile,1999,8.5,"1,009,642",
31,tt0816692,Interstellar,2014,8.5,"1,289,680",
32,tt0054215,Psycho,1960,8.5,"535,216",
33,tt0120586,American History X,1998,8.5,"947,553",
34,tt0021749,City Lights,1931,8.5,"146,155",
35,tt0034583,Casablanca,1942,8.5,"474,348",
36,tt0064116,Once Upon a Time in the West,1968,8.5,"270,182",
37,tt0253474,The Pianist,2002,8.5,"639,237",
38,tt0027977,Modern Times,1936,8.5,"189,385",
39,tt1675434,The Intouchables,2011,8.5,"672,509",
40,tt0407887,The Departed,2006,8.5,"1,070,951",
41,tt0088763,Back to the Future,1985,8.5,"930,976",
42,tt0103064,Terminator 2: Judgment Day,1991,8.5,"903,740",
43,tt2582802,Whiplash,2014,8.5,"611,671",
44,tt0110357,The Lion King,1994,8.5,"830,191",
45,tt0047396,Rear Window,1954,8.5,"397,045",6000000
46,tt0172495,Gladiator,2000,8.5,"1,206,659",
47,tt0082971,Raiders of the Lost Ark,1981,8.5,"808,506",
48,tt0482571,The Prestige,2006,8.5,"1,060,265",
49,tt0078788,Apocalypse Now,1979,8.4,"545,998",
50,tt0209144,Memento,2000,8.4,"1,027,114",
51,tt0078748,Alien,1979,8.4,"710,727",
52,tt0095327,Grave of the Fireflies,1988,8.4,"195,133",
53,tt4633694,Spider-Man: Into the Spider-Verse,2018,8.4,"199,435",
54,tt0095765,Cinema Paradiso,1988,8.4,"200,254",
55,tt0032553,The Great Dictator,1940,8.4,"179,541",
56,tt0043014,Sunset Blvd.,1950,8.4,"178,288",
57,tt0405094,The Lives of Others,2006,8.4,"321,434",
58,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"413,263",
59,tt4154756,Avengers: Infinity War,2018,8.4,"657,004",
60,tt0050825,Paths of Glory,1957,8.4,"155,614",
61,tt1853728,Django Unchained,2012,8.4,"1,204,481",
62,tt0081505,The Shining,1980,8.4,"777,287",
63,tt0910970,WALL·E,2008,8.4,"901,840",
64,tt0119698,Princess Mononoke,1997,8.4,"292,828",
65,tt0051201,Witness for the Prosecution,1957,8.4,"91,340",
66,tt0364569,Oldeuboi,2003,8.3,"456,544",
67,tt0090605,Aliens,1986,8.3,"598,212",
68,tt1345836,The Dark Knight Rises,2012,8.3,"1,381,222",
69,tt0169547,American Beauty,1999,8.3,"986,930",
70,tt0087843,Once Upon a Time in America,1984,8.3,"276,031",
71,tt2380307,Coco,2017,8.3,"272,499",
72,tt0082096,Das Boot,1981,8.3,"208,707",
73,tt0033467,Citizen Kane,1941,8.3,"362,093",
74,tt0112573,Braveheart,1995,8.3,"888,102",
75,tt0052357,Vertigo,1958,8.3,"318,908",
76,tt0053125,North by Northwest,1959,8.3,"270,627",4000000
77,tt0105236,Reservoir Dogs,1992,8.3,"819,731",
78,tt5311514,Your Name.,2016,8.3,"131,814",
79,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"858,194",
80,tt0022100,M,1931,8.3,"126,972",
81,tt0086879,Amadeus,1984,8.3,"335,359",
82,tt0180093,Requiem for a Dream,2000,8.3,"697,325",
83,tt5074352,Dangal,2016,8.3,"121,027",
84,tt1187043,3 Idiots,2009,8.3,"298,189",
85,tt0062622,2001: A Space Odyssey,1968,8.3,"539,983",
86,tt0114709,Toy Story,1995,8.3,"788,444",
87,tt0986264,Taare Zameen Par,2007,8.3,"140,627",
88,tt0338013,Eternal Sunshine of the Spotless Mind,2004,8.3,"821,829",
89,tt0056172,Lawrence of Arabia,1962,8.3,"241,055",
90,tt0066921,A Clockwork Orange,1971,8.3,"686,149",
91,tt0045152,Singin' in the Rain,1952,8.3,"195,674",
92,tt0211915,Amélie,2001,8.3,"649,401",
93,tt0036775,Double Indemnity,1944,8.3,"127,142",
94,tt0361748,Inglourious Basterds,2009,8.3,"1,113,850",
95,tt0075314,Taxi Driver,1976,8.3,"633,804",
96,tt0093058,Full Metal Jacket,1987,8.3,"606,835",
97,tt0056592,To Kill a Mockingbird,1962,8.3,"270,698",
